strata,year,biomass,biomass_cv,cpue,cpue_cv
CSEO,1994,9385.35048,0.105355011,NA,NA
CSEO,1995,16333.74424,0.192998626,NA,NA
CSEO,1996,NA,NA,NA,NA
CSEO,1997,9095.36936,0.143993721,NA,NA
CSEO,1998,NA,NA,0.069922872,0.280665778
CSEO,1999,NA,NA,0.038567057,0.318901538
CSEO,2000,NA,NA,0.029653171,0.276788145
CSEO,2001,NA,NA,0.034473684,0.259328362
CSEO,2002,NA,NA,0.028585487,0.297668009
CSEO,2003,10333.36568,0.105316879,0.02590459,0.307767895
CSEO,2004,NA,NA,0.041666667,0.301403126
CSEO,2005,NA,NA,0.043482143,0.203992744
CSEO,2006,NA,NA,0.035606061,0.224510018
CSEO,2007,5855.388,0.124256121,0.025805581,0.393254407
CSEO,2008,NA,NA,0.027797941,0.284346946
CSEO,2009,NA,NA,0.027726047,0.315005885
CSEO,2010,NA,NA,0.033746118,0.302560913
CSEO,2011,NA,NA,0.021415453,0.355127154
CSEO,2012,3957.226639,0.135857174,0.033093758,0.270010519
CSEO,2013,NA,NA,0.025790426,0.250312654
CSEO,2014,NA,NA,0.028211899,0.265429064
CSEO,2015,NA,NA,0.020511949,0.278796322
CSEO,2016,5898.083139,0.143033546,0.030681818,0.283692884
CSEO,2017,NA,NA,0.021918317,0.351585119
CSEO,2018,5570.398464,0.140708841,0.0321585,0.218925908
CSEO,2019,NA,NA,0.024489796,0.243687532
CSEO,2020,NA,NA,0.033333333,0.312684344
